358.3334	192.9881
362.9405	192.9881
362.9405	193.5000
366.0120	193.5000
366.0120	194.0119
368.5715	194.0119
368.5715	194.5238
369.0834	194.5238
369.0834	195.0358
370.1072	195.0358
370.1072	195.5477
371.1310	195.5477
371.1310	196.0596
373.6905	196.0596
373.6905	196.5715
374.2025	196.5715
374.2025	197.0834
374.7144	197.0834
374.7144	197.5953
375.7382	197.5953
375.7382	198.1072
376.7620	198.1072
376.7620	198.6191
377.2739	198.6191
377.2739	199.1310
378.2977	199.1310
378.2977	199.6429
379.3215	199.6429
379.3215	200.1548
380.8572	200.1548
380.8572	200.6667
381.3691	200.6667
381.3691	201.1786
381.8810	201.1786
381.8810	201.6905
382.9048	201.6905
382.9048	202.2024
383.9286	202.2024
383.9286	202.7143
385.9763	202.7143
385.9763	203.2262
387.5120	203.2262
387.5120	203.7381
389.0477	203.7381
389.0477	204.2500
391.0953	204.2500
391.0953	204.7619
391.6072	204.7619
391.6072	205.2738
392.1191	205.2738
392.1191	205.7858
393.1429	205.7858
393.1429	206.2977
394.1667	206.2977
394.1667	206.8096
394.6786	206.8096
394.6786	207.3215
395.1906	207.3215
395.1906	207.8334
395.7025	207.8334
395.7025	208.3453
396.2144	208.3453
396.2144	209.3691
396.7263	209.3691
396.7263	209.8810
397.2382	209.8810
397.2382	210.9048
397.7501	210.9048
397.7501	211.4167
398.2620	211.4167
398.2620	211.9286
398.7739	211.9286
398.7739	212.9524
399.2858	212.9524
399.2858	213.9762
399.7977	213.9762
399.7977	215.0000
400.3096	215.0000
400.3096	216.0239
400.8215	216.0239
400.8215	216.5358
401.3334	216.5358
401.3334	217.0477
401.8453	217.0477
401.8453	217.5596
402.3572	217.5596
402.3572	218.0715
402.8691	218.0715
402.8691	218.5834
403.8929	218.5834
403.8929	219.0953
404.9167	219.0953
404.9167	219.6072
406.4525	219.6072
406.4525	220.1191
409.0120	220.1191
409.0120	220.6310
410.0358	220.6310
410.0358	221.1429
412.5953	221.1429
412.5953	221.6548
415.6667	221.6548
415.6667	222.1667
416.1787	222.1667
416.1787	222.6786
417.2025	222.6786
